LEM - Levantamento estatístico Mensal/2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
DESDOBRAMENTOS TÉCNICOS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,,,desdobramentos técnicos,,,,,
Atendimentos indvidual,40,28,41,10,51,61,48,40,62,58,63,60,562.0,,1984,,,,,
Atedimento familiar,31,6,27,5,13,28,23,26,29,24,35,34,281.0,,,,,,,
Interface com rede socioassistencial ,10,15,12,7,15,20,18,8,20,12,17,18,172.0,,,,,,,
Interface com judiciário,8,2,10,5,9,2,7,6,4,6,10,22,91.0,,,,,,,
Interface com saúde,18,11,11,6,20,24,13,,26,10,24,27,190.0,,,,,, ,
Interface com educação,9,3,39,10,1,25,10,33,27,18,20,17,212.0,,,,,,,
PIAS / Relatórios,17,5,8,3,15,5,15,,10,13,12,22,125.0,,,,,,,
Visitas Domiciliares,2,1,0,0,0,1,0,1,3,0,2,2,12.0,,,,,,,
Apadrinhamento afetivo,0,0,12,0,0,0,0,,0,0,0,0,12.0,,,,,,,
Colocação em família substituta,0,0,0,0,0,0,0,3,0,0,0,0,3.0,,,,,,,
"Reunião de equipe (técnica, casa, coordenação, gerente)",6,4,7,3,5,5,3,6,8,9,12,10,78.0,,,,,,,
Desligamentos,0,1,0,0,0,1,0,4,0,0,0,0,6.0,,,,,,,
Evasão,2,1,0,0,1,0,1,0,4,3,4,6,22.0,,,,,,,
Novos ingressos,0,0,1,1,1,2,0,1,1,1,0,1,9.0,,,,,,,
Transferências,0,0,0,0,0,1,0,0,1,0,0,0,2.0,,,,,,,  
Efetivos na casa,15,14,14,15,16,18,18,15,16,15,17,18,191.0,,,,,,,
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),0,0,0,1,1,0,2,2,3,3,2,2,16.0,,,,,,,
PROFISSIONALIZAÇÃO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,1984.0,,profissionalização ,,,,,
INSERIDOS em curso profissionalizante,0,2,0,0,0,0,0,0,0,0,0,0,2.0,,13,,,,,
ENCAMINHADOS para curso profissionalizante,0,0,0,0,0,0,0,0,0,6,0,0,6.0,,,,,,,
INSERIDO no mercado de trabalho,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
ENCAMINHADO para mercado de trabalho,0,0,0,0,0,0,0,0,0,0,0,5,5.0,,,,,,,
SAÚDE,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,13.0,,Encaminhamentos saúde,,,,,
Saude mental ,27,15,17,12,15,17,9,,17,25,34,26,214.0,,332,,,,,
Saúde Clínica,11,8,9,8,0,14,13,,10,12,15,16,116.0,,,,,,,
Internações,0,0,0,0,0,0,0,,1,0,0,1,2.0,,,,,,,
                          EDUCAÇÃO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,332.0,,Encaminhamento educação,,,,,
Ensino infantil ,,,,,,,,,0,,,,,,0,,,,,
            matriculados,2,0,0,0,0,0,0,0,1,0,0,0,3.0,,,,,,,
            aguardando vaga,0,0,0,0,0,0,0,0,1,1,1,1,4.0,,,,,,,
Ensino regular ,,,,  ,,,,,,,,,0.0,,,,,,,
            matriculados,12,0,3,0,0,0,0,1,1,1,1,0,19.0,,,,,,,
            aguardando vaga,3,0,0,0,0,0,0,0,0,0,0,0,3.0,,,,,,,
Ensino EJA ,,,,,,,,,,,,,0.0,,,,,,,
            matriculados,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
            aguardando vaga,0,0,0,0,0,0,0,,0,0,0,0,0.0,,,,,,,
SCFV ,,,,,,,,,,,,,0.0,,,,,,,
            matriculados,0,0,0,0,0,0,0,0,2,0,0,0,2.0,,,,,,,
            aguardando vaga,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",0,0,0,0,0,0,0,0,0,0,0,,0.0,,,,,,,
