Category,Month,Value,Year,Source
Apadrinhamento afetivo,JAN,0.0,2021,LEM_2021.xlsx
Atedimento familiar,JAN,31.0,2021,LEM_2021.xlsx
Atendimentos indvidual,JAN,40.0,2021,LEM_2021.xlsx
Colocação em família substituta,JAN,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,JAN,,2021,LEM_2021.xlsx
Desligamentos,JAN,0.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),JAN,0.0,2021,LEM_2021.xlsx
EDUCAÇÃO,JAN,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,JAN,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,JAN,0.0,2021,LEM_2021.xlsx
Efetivos na casa,JAN,15.0,2021,LEM_2021.xlsx
Ensino EJA,JAN,,2021,LEM_2021.xlsx
Ensino infantil,JAN,,2021,LEM_2021.xlsx
Ensino regular,JAN,,2021,LEM_2021.xlsx
Evasão,JAN,2.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,JAN,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,JAN,0.0,2021,LEM_2021.xlsx
Interface com educação,JAN,9.0,2021,LEM_2021.xlsx
Interface com judiciário,JAN,8.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,JAN,10.0,2021,LEM_2021.xlsx
Interface com saúde,JAN,18.0,2021,LEM_2021.xlsx
Internações,JAN,0.0,2021,LEM_2021.xlsx
Novos ingressos,JAN,0.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",JAN,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,JAN,17.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,JAN,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",JAN,6.0,2021,LEM_2021.xlsx
SAÚDE,JAN,,2021,LEM_2021.xlsx
SCFV,JAN,,2021,LEM_2021.xlsx
Saude mental,JAN,27.0,2021,LEM_2021.xlsx
Saúde Clínica,JAN,11.0,2021,LEM_2021.xlsx
Transferências,JAN,0.0,2021,LEM_2021.xlsx
Visitas Domiciliares,JAN,2.0,2021,LEM_2021.xlsx
aguardando vaga,JAN,0.0,2021,LEM_2021.xlsx
matriculados,JAN,0.0,2021,LEM_2021.xlsx
,JAN,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,FEV,0.0,2021,LEM_2021.xlsx
Atedimento familiar,FEV,6.0,2021,LEM_2021.xlsx
Atendimentos indvidual,FEV,28.0,2021,LEM_2021.xlsx
Colocação em família substituta,FEV,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,FEV,,2021,LEM_2021.xlsx
Desligamentos,FEV,1.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),FEV,0.0,2021,LEM_2021.xlsx
EDUCAÇÃO,FEV,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,FEV,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,FEV,0.0,2021,LEM_2021.xlsx
Efetivos na casa,FEV,14.0,2021,LEM_2021.xlsx
Ensino EJA,FEV,,2021,LEM_2021.xlsx
Ensino infantil,FEV,,2021,LEM_2021.xlsx
Ensino regular,FEV,,2021,LEM_2021.xlsx
Evasão,FEV,1.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,FEV,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,FEV,2.0,2021,LEM_2021.xlsx
Interface com educação,FEV,3.0,2021,LEM_2021.xlsx
Interface com judiciário,FEV,2.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,FEV,15.0,2021,LEM_2021.xlsx
Interface com saúde,FEV,11.0,2021,LEM_2021.xlsx
Internações,FEV,0.0,2021,LEM_2021.xlsx
Novos ingressos,FEV,0.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",FEV,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,FEV,5.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,FEV,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",FEV,4.0,2021,LEM_2021.xlsx
SAÚDE,FEV,,2021,LEM_2021.xlsx
SCFV,FEV,,2021,LEM_2021.xlsx
Saude mental,FEV,15.0,2021,LEM_2021.xlsx
Saúde Clínica,FEV,8.0,2021,LEM_2021.xlsx
Transferências,FEV,0.0,2021,LEM_2021.xlsx
Visitas Domiciliares,FEV,1.0,2021,LEM_2021.xlsx
aguardando vaga,FEV,0.0,2021,LEM_2021.xlsx
matriculados,FEV,0.0,2021,LEM_2021.xlsx
,FEV,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,MAR,12.0,2021,LEM_2021.xlsx
Atedimento familiar,MAR,27.0,2021,LEM_2021.xlsx
Atendimentos indvidual,MAR,41.0,2021,LEM_2021.xlsx
Colocação em família substituta,MAR,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,MAR,,2021,LEM_2021.xlsx
Desligamentos,MAR,0.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),MAR,0.0,2021,LEM_2021.xlsx
EDUCAÇÃO,MAR,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,MAR,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,MAR,0.0,2021,LEM_2021.xlsx
Efetivos na casa,MAR,14.0,2021,LEM_2021.xlsx
Ensino EJA,MAR,,2021,LEM_2021.xlsx
Ensino infantil,MAR,,2021,LEM_2021.xlsx
Ensino regular,MAR,,2021,LEM_2021.xlsx
Evasão,MAR,0.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,MAR,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,MAR,0.0,2021,LEM_2021.xlsx
Interface com educação,MAR,39.0,2021,LEM_2021.xlsx
Interface com judiciário,MAR,10.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,MAR,12.0,2021,LEM_2021.xlsx
Interface com saúde,MAR,11.0,2021,LEM_2021.xlsx
Internações,MAR,0.0,2021,LEM_2021.xlsx
Novos ingressos,MAR,1.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",MAR,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,MAR,8.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,MAR,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",MAR,7.0,2021,LEM_2021.xlsx
SAÚDE,MAR,,2021,LEM_2021.xlsx
SCFV,MAR,,2021,LEM_2021.xlsx
Saude mental,MAR,17.0,2021,LEM_2021.xlsx
Saúde Clínica,MAR,9.0,2021,LEM_2021.xlsx
Transferências,MAR,0.0,2021,LEM_2021.xlsx
Visitas Domiciliares,MAR,0.0,2021,LEM_2021.xlsx
aguardando vaga,MAR,0.0,2021,LEM_2021.xlsx
matriculados,MAR,0.0,2021,LEM_2021.xlsx
,MAR,,2021,LEM_2021.xlsx
Apadrinhamento afetivo,ABR,0.0,2021,LEM_2021.xlsx
Atedimento familiar,ABR,5.0,2021,LEM_2021.xlsx
Atendimentos indvidual,ABR,10.0,2021,LEM_2021.xlsx
Colocação em família substituta,ABR,0.0,2021,LEM_2021.xlsx
DESDOBRAMENTOS TÉCNICOS,ABR,,2021,LEM_2021.xlsx
Desligamentos,ABR,0.0,2021,LEM_2021.xlsx
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),ABR,1.0,2021,LEM_2021.xlsx
EDUCAÇÃO,ABR,,2021,LEM_2021.xlsx
ENCAMINHADO para mercado de trabalho,ABR,0.0,2021,LEM_2021.xlsx
ENCAMINHADOS para curso profissionalizante,ABR,0.0,2021,LEM_2021.xlsx
Efetivos na casa,ABR,15.0,2021,LEM_2021.xlsx
Ensino EJA,ABR,,2021,LEM_2021.xlsx
Ensino infantil,ABR,,2021,LEM_2021.xlsx
Ensino regular,ABR,,2021,LEM_2021.xlsx
Evasão,ABR,0.0,2021,LEM_2021.xlsx
INSERIDO no mercado de trabalho,ABR,0.0,2021,LEM_2021.xlsx
INSERIDOS em curso profissionalizante,ABR,0.0,2021,LEM_2021.xlsx
Interface com educação,ABR,10.0,2021,LEM_2021.xlsx
Interface com judiciário,ABR,5.0,2021,LEM_2021.xlsx
Interface com rede socioassistencial,ABR,7.0,2021,LEM_2021.xlsx
Interface com saúde,ABR,6.0,2021,LEM_2021.xlsx
Internações,ABR,0.0,2021,LEM_2021.xlsx
Novos ingressos,ABR,1.0,2021,LEM_2021.xlsx
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",ABR,0.0,2021,LEM_2021.xlsx
PIAS / Relatórios,ABR,3.0,2021,LEM_2021.xlsx
PROFISSIONALIZAÇÃO,ABR,,2021,LEM_2021.xlsx
"Reunião de equipe (técnica, casa, coordenação, gerente)",ABR,3.0,2021,LEM_2021.xlsx
